Site_ID,Planned_Kiosk_Type,Installation_Status,PPT_ID,Legacy_ID,Borough,Council_District,Community_Board,Street_Address,Cross_Street_1,Cross_Street_2,IxN_Corner,Postcode,Zoning,Latitude,Longitude,Installation_Complete,Activation_Complete,Neighborhood_Tabulation_Area_(NTA),Building_Identification_Number_(BIN),Borough-Block-Lot_(BBL),Census_Tract_(CT),Location
mn-07-133413,Link1.0,Live,133413,mn-07-133413,Manhattan,6,107,2096 BROADWAY,WEST 72 STREET,WEST 71 STREET,SE,10023,C4-6A,40.778381,-73.981665,1/27/17,2/27/17,Lincoln Square,1029904,1011430064,1015700,"(40.778381, -73.981665)"
qu-02-145740,Link1.0,Live,145740,LINK-018146,Queens,30,402,70-50 QUEENS BOULEVARD,72 STREET,70 STREET,SW,11377,C2-3,40.739393,-73.892498,2/25/17,3/20/17,Elmhurst-Maspeth,4056418,4024440040,4048900,"(40.739393, -73.892498)"
mn-10-120049,Link1.0,Live,120049,mn-10-120049,Manhattan,9,110,166 WEST 125 STREET,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,SE,10027,C6-3,40.808793,-73.948125,11/14/16,1/9/17,Central Harlem South,1057837,1019090063,1022200,"(40.808793, -73.948125)"
mn-06-121703,Link1.0,Live,121703,mn-06-121703,Manhattan,5,106,1044 1 AVENUE,EAST 57 STREET,EAST 56 STREET,SE,10022,C1-5,40.758113,-73.962914,10/25/17,5/9/18,Turtle Bay-East Midtown,1040466,1013680001,1010601,"(40.758113, -73.962914)"
mn-05-133695,Link1.0,Live,133695,mn-05-133695,Manhattan,2,105,233 5 AVENUE,EAST 27 STREET,EAST 28 STREET,NE,10016,C5-2,40.744175,-73.987549,8/12/17,4/4/18,Hudson Yards-Chelsea-Flatiron-Union Square,1016882,1008570001,1005600,"(40.744175, -73.987549)"
bk-05-145944,Link1.0,Live,145944,LINK-021931,Brooklyn,37,305,2460 FULTON STREET,SINDEREN AVENUE,VAN SINDEREN AVENUE,NE,11207,M1-1,40.677895,-73.90299,9/29/17,1/16/18,Ocean Hill,3042317,3015550001,3036700,"(40.677895, -73.90299)"
mn-06-121791,Link1.0,Live,121791,mn-06-121791,Manhattan,4,106,260 EAST 48 STREET,2 AVENUE,3 AVENUE,SW,10017,C1-9,40.753661,-73.969649,1/27/18,4/10/18,Turtle Bay-East Midtown,1037988,1013210022,1009000,"(40.753661, -73.969649)"
mn-07-133501,Link1.0,Live,133501,mn-07-133501,Manhattan,3,107,1860 BROADWAY,WEST 61 STREET,WEST 62 STREET,NE,10023,C4-7,40.769816,-73.981929,4/30/16,9/30/16,Lincoln Square,1087510,1011147503,1014500,"(40.769816, -73.981929)"
bk-07-145886,Link1.0,Live,145886,LINK-021524,Brooklyn,38,307,799 4 AVENUE,28 STREET,27 STREET,NE,11232,M1-1D,40.658808,-73.999532,7/15/17,8/22/17,Sunset Park West,3009753,3006610001,3010100,"(40.658808, -73.999532)"
bx-07-119685,Link5G_Ad,Live,,,Bronx,11,207,3500 JEROME AVENUE,EAST GUN HILL ROAD,EAST 212 STREET,,10467,C1-3,40.882786,-73.881014,5/16/24,6/27/24,Norwood,2017790,2033280008,2043100,"(40.8827861, -73.8810142)"
qu-01-145953,Link1.0,Live,145953,LINK-019892,Queens,26,401,45-18 BROADWAY,46 STREET,45 STREET,SW,11103,C1-4,40.756724,-73.914383,9/30/17,1/10/18,Astoria,4012439,4007080040,4016100,"(40.756724, -73.914383)"
mn-12-131047,Link1.0,Live,131047,mn-12-131047,Manhattan,10,112,599 WEST 190 STREET,ST NICHOLAS AVENUE,AUDUBON AVENUE,NE,10040,C1-4,40.854876,-73.92939,4/19/18,6/5/18,Washington Heights North,1063863,1021610001,1027700,"(40.854876, -73.92939)"
mn-06-136202,Link1.0,Live,136202,mn-06-136202,Manhattan,4,106,160 EAST 38 STREET,3 AVENUE,LEXINGTON AVENUE,SW,10016,C1-9,40.748287,-73.976535,2/6/16,3/18/16,Murray Hill-Kips Bay,1019099,1008930041,1008000,"(40.748287, -73.976535)"
mn-05-122627,Link1.0,Live,122627,mn-05-122627,Manhattan,3,105,932 8 AVENUE,WEST 55 STREET,WEST 56 STREET,NE,10019,C6-4,40.765522,-73.983593,3/18/16,4/7/16,Midtown-Midtown South,1024868,1010270002,1013700,"(40.765522, -73.983593)"
mn-07-121267,Link1.0,Live,121267,mn-07-121267,Manhattan,6,107,517 COLUMBUS AVENUE,WEST 85 STREET,WEST 84 STREET,SE,10024,C1-8A,40.785682,-73.972629,2/21/18,6/15/18,Upper West Side,1031339,1011987502,1016900,"(40.785682, -73.972629)"
mn-08-135076,Link1.0,Live,135076,mn-08-135076,Manhattan,5,108,1126 1 AVENUE,EAST 62 STREET,EAST 61 STREET,SE,10065,C8-4,40.761267,-73.96062,4/4/18,6/7/18,Lenox Hill-Roosevelt Island,1045288,1014560046,1010602,"(40.761267, -73.96062)"
qu-12-123858,Link5G_Ad,Live,123858,65000,Queens,27,412,115-01 FARMERS BOULEVARD,115th Avenue,115th Road,,11412,C2-3,40.695975,-73.761234,11/30/22,2/15/23,St. Albans,4237303,4110320001,4052600,"(40.695975, -73.761234)"
